"'""Illegale lozing genX door Chemours"". "" Water Biesbosch vol dioxine"". ""Bodem Evides met gif vervuild"". Krantenkoppen waar je niet vrolijk van wordt. Er gebeurt nogal wat op het eiland van Dordrecht, waar blijkbaar lang niet bij iedereen de handhaving van een gezond milieu bovenaan de prioriteitenlijst staat. Stichting BuitenZinnig wil hier middels haar geplande VoedselBos iets positiefs tegenover stellen.Dordrecht - Het is natuurlijk wel belangrijk dan om de locatie van dit project goed te plannen; op sterk vervuilde grond heeft dit alles geen kans van slagen. Lichte verontreiniging is er plaatselijk echter vaak wel aanwezig, al is het alleen al door de intensieve landbouw.Stichting BuitenZinnig heeft meerdere locaties bekeken, die geschikt zouden zijn. In de wijk Wilgenwende is zo\'n mogelijke locatie. Er is buurtonderzoek gedaan om te zien of er bij de buurtbewoners draagvlak is en dat blijkt inderdaad ruimschoots aanwezig. Dat is een groot pluspunt, maar dan zijn we er nog niet. Ook het terrein, grotendeels bestaande uit klei, lijkt geschikt voor de aanleg van het voedselbos. Er is veel water aanwezig waarop geen gewassen kunnen groeien, dus dit oppervlak moeten we niet meerekenen in het totaal aantal beschikbare hectares.Ook het feit dat over een gedeelte van het terrein hoogspanningskabels hangen is niet onbelangrijk. Het beperkt stichting BuitenZinnig in het aantal aan te planten hoge bomen. Maar al bij al blijft er meer dan voldoende potentie over om juist hier VoedselBos BuitenZinnig aan te leggen.Een wens is echter nog geen zekerheid. Het is een zegen om de goedkeuring van de wijk te krijgen; ook het politiek apparaat van Dordrecht moet de potentie gaan zien en dus ook hier dient er draagvlak te zijn of te komen.Een voedselbos is een vele jarenplan. Initiatiefnemer Paul Zuijdweg:"" Geen jaar zal het bos hetzelfde zijn. Zodra we de grond gaan bewerken, duiken er allerlei zogeheten pioniersplanten op, planten die het uitstekend doen op recent verstoorde grond. We denken dan bijvoorbeeld aan varkensgras, melganzevoet, klaprozen, maar bijvoorbeeld ook wilgen. Naarmate er gewassen worden aangeplant, zie je veel van dit soort eerstejaarsplanten weer verdwijnen en andere zullen gericht verwijderd moeten worden. Vooral bramen, wilgen en akkerdistels breiden zich enorm uit als we die geen halt toeroepen. Uiteindelijk willen we een bos creëren waarin we zelf zo min mogelijk ingrijpen, maar geloof me, eer we zover zijn is er heel wat geschoffeld, gewied en geruimd. We hopen dan ook dat er onder de mensen die nu het groeiend draagvlak vormen, ook vrijwilligers te vinden zijn die met ons mee willen werken"".'"	nan	0.24	Afval: Kankerverwekkende stoffen	topic 24: genx	2017
Leden van Sliedrechtse politieke partijen hebben zaterdag twee emmers 'vervuilde grond' teruggebracht naar Chemours in Dordrecht. Met deze actie uitten ze hun woede over de uitstoot van de stoffen PFOA en GenX door het Dordtse bedrijf. ,,Niet twee emmertjes water halen, maar twee emmertjes gif terugbrengen'', schrijft Peter de Borst (PRO Sliedrecht) over de actie. Het was de tweede week van de 'terugstortactie'. De partijen willen voorlopig elke week vervuilde grond naar Chemours brengen. Hiervoor zoeken ze vrijwilligers. Aanleiding voor de actie is de brief waarin minister Cora van Nieuwenhuizen aankondigt dat Chemours voortaan 5 kilo GenX en 2 kilo PFOA per jaar direct op de Beneden Merwede mag lozen. Het bedrijf deed dat eerder illegaal, maar volgens de minister kan de lozing gelegaliseerd worden.Bekijk de oorspronkelijke pagina: pagina 5	Nan	0.77	Afval: Kankerverwekkende stoffen 	topic 24: genx	2019
De strenge milieuregels voor PFAS worden versoepeld door het kabinet. Daardoor  kan mogelijk driekwart van de hierdoor gestaakte bouwwerkzaamheden weer door.PFAS is een verzamelnaam voor duizenden chemische stoffen, waarvan  verschillende mogelijk schadelijk zijn voor de volksgezondheid.  Deze zomer zette minister Stientje van Veldhoven (D66), toen nog  staatssecretaris, de PFAS-norm op 0,1 microgram per kilogram. Bij een  overschrijding mag deze grond niet meer zomaar worden verplaatst.  In de praktijk betekent dit dat bouwers, hoveniers en baggeraars amper nog hun  werk kunnen doen. Dat heeft grote economische gevolgen. Ondernemers wijzen  daarom al maanden woedend richting van Van Veldhoven.  Verschillende grondverzet- en baggerbedrijven moesten hun personeel tijdelijk  naar huis sturen. Zij demonstreerden tegen de maatregel op het Malieveld in Den  Haag. De minister komt vandaag naar buiten met een norm van 0,8 microgram. Een groot  deel van de bouwsector zou hiermee uit de voeten kunnen. „De norm van 0,8 is  erg laag, deze had 1 of 1,5 moeten zijn. Het biedt een beetje lucht: hiermee  kan ongeveer de helft van de bouwprojecten verder.’’  ,,Voor de baggeraars is het geen oplossing”, zegt directeur Leonie van der  Voort van Cascade, de branchevereniging van zand- en grindproducenten. De  waterbouwers willen nog niet reageren op de versoepeling. Van Veldhoven heeft metingen laten doen door het RIVM waaruit blijkt dat het  veilig is.  Aan het Binnenhof vragen kritische politici zich al langer af waarom de  D66-bewindsvrouw niet heeft gewacht op metingen in gemeenten voor ze enkele  maanden geleden de grens van 0,1 microgram per kilogram communiceerde. Veel bouwbedrijven kampen naast de PFAS-kwestie met de gevolgen van de  stikstofcrisis en zien daardoor de orderportefeuille opdrogen. Driekwart van projecten nu vlotgetrokken	Alexander Bakker En Yteke De Jong	0.88	Afval: Kankerverwekkende stoffen 	topic 44: pfas-norm-1	2019
"De gemeente Noordoostpolder plaatste deze week hekken en een camera aan de Espelerweg. ,,Preventieve maatregel"", zegt woordvoerder Reinier Groenendijk. Een camera om het dumpen van vervuilde grond tegen te gaan. Gaat dat niet wat ver? ,,Door de PFAS-regelgeving moet grond gekeurd worden. Die keuringen kosten geld. Gaan mensen zomaar grond storten, dan loop je het risico dat je niet meer aan die normen voldoet. Het is meer een preventieve maatregel, niet zozeer een repressieve. Zodat het niet nog een keer gebeurt. Dus nee, het gaat niet te ver. Het is meer een teken van deze tijd."" Hoe staat het met de werkzaamheden rond de rotonde? ,,De voorbereidende werkzaamheden starten binnenkort. Volgens de planning moet de rotonde voorjaar 2020 aangelegd zijn."	Erik Riemens	0.34	Afval: Kankerverwekkende stoffen 	topic 44: pfas-norm-1	2019
"Afval zoekt zijn weg naar de goedkoopste verwerker. Goedschiks of kwaadschiks. Dat laatste is vaak het goedkoopst. Meer internationale controles moeten de illegale transporten tegengaan.   De achterklep van de vrachtwagencombinatie gaat zonder tegensputteren open. Tot aan het dak zit de container vol met oude kleren. ""Ik ruik niets vreemds"", zegt de ander die op een ladder staat. De chauffeur mag doorrijden.  Niet elke vrachtwagen kan zijn weg zo snel vervolgen. Het Korps Landelijke Politiediensten (KLPD) was gistermorgen op de grensovergang Hazeldonk (A16) ten zuiden van Breda, in samenwerking met de milieu-inspectie en de Belgische politie, bezig met een controle op het illegale vervoer van afvalstoffen. En dat is volgens milieuspecialist Jan van Hoevelaak van het KLPD hard nodig. ""Het dumpen van afvalstoffen heeft wereldwijd grote gevolgen voor de volksgezondheid"", zegt hij.   Onder begeleiding van Belgische motoragenten wordt een bonte stoet internationale vrachtwagens het parkeerterrein bij Hazeldonk op gedirigeerd. De controle focust zich op afval dat illegaal wordt meevervoerd met de officiële lading en op het transport van afval waarvan de papieren niet deugen.   Het is geen klus zonder gevaar. Als de controleurs niet zeker zijn van hun zaak wordt eerst een gasmeting verricht. Zo moet duidelijk worden of er zich in de laadruimte van de vrachtwagen gevaarlijke gassen bevinden. Van Hoevelaak: ""Er gebeuren regelmatig ongelukken. Stel dat je de klep opendoet van een container met planten waar allerlei bestrijdingsmiddelen in zijn gespoten: dat kan binnen een paar tellen je dood betekenen. We nemen dus het zekere voor het onzekere."" De controle op Hazeldonk is een uitvloeisel van een afspraak die op Europees niveau is gemaakt. Tal van landen, binnen en buiten de Europese Unie, vinden dat de controle op illegale afvaltransporten moet worden opgevoerd. Van Hoevelaak: ""Veel afval gaat naar de Derde Wereld. Als je ziet met wat voor een problemen die landen worden opgezadeld... Niet alleen in Afrika, maar ook in de havens van Brazilië en Indonesië ligt het plastic in grote bergen opgestapeld. Jarenlang ligt het daar onaangeroerd.  Printplaten uit computers belanden in West-Afrika. Via verhitting winnen de mensen metalen uit die platen, maar dat is zeer schadelijk voor de gezondheid. Ander voorbeeld: vervuilde grond wordt vermengd met schone grond. Daarop worden huizen gebouwd met tuinen waarin later kinderen spelen."" Volgens het KLPD is Nederland een scharnierpunt in de illegale afvaltransporten. Elke jaargetijde kent zijn eigen favoriete uitvoerhavens. Nu is dat de haven van Antwerpen. ""De haven van Rotterdam is minder geliefd, omdat daar op dit moment relatief veel controles plaatsvinden. Zo gaat het op en neer."" Toch vormen de controles volgens Van Hoevelaak geen zinloze missie. ""Het levert veel op. We leren iets over de transportstromen.  Alle gegevens worden verzameld in een database. Zo is het voor ons eenvoudiger om verder te rechercheren.""   Een  vrachtwagen vervoert vervuilde en stinkende aardappelgrond. De juiste papieren ontbreken. In de loop van de dag blijken nog twaalf andere transporten niet in de haak te zijn."	nan	0.25	Bodem & Energie	topic 121: grondboringen	2010
Shell heeft om een vergunning gevraagd om gas te winnen in een gebied van 95.000 vierkante kilometer in de regio Karoo. De landeigenaren en stadsbewoners in dit gebied maken zich grote zorgen. Ze zijn angstig voor grondwatervervuiling, een tekort aan water en verwoesting van de natuur.   Het probleem zit hem vooral in de methode die Shell wil gebruiken. Het olie- en gasconcern wil hydraulisch boren. Bij dit proces, ook wel 'fracking' genoemd, wordt een mix van water, zand en chemicaliën in de grond gespoten. De stralen creëren fijne groeven in de rotsgrond. Zand houdt de groeven open, zodat het gas uit de rots kan ontsnappen en naar de oppervlakte stijgt.   Volgens onder meer het Amerikaanse ProPublica, een onafhankelijk centrum voor onderzoeksjournalistiek, is de methode niet zonder gevaar. Er zouden gevallen zijn van drinkwatervergiftiging en bodemvervuiling die direct verband houden met de booractiviteiten.	nan	0.96	Bodem & Energie	topic 121: grondboringen	2011
De politie heeft overblijfselen aangetroffen van vier grote banden van landbouwvoertuigen die in brand zijn gestoken. Dit onder aan de Maanezeese Gorsdijk. Dit heeft een behoorlijke bodemverontreiniging en beschadiging veroorzaakt. Bij navraag in de omgeving bleek niemand hier iets van te weten. Help de dader(s) op te sporen! Er is hier sprake van een overtreding van artikel 13 Wet Bodembescherming. U kunt informatie kwijt bij uw wijkagent of via twitter. Of bel met Meld Misdaad Anoniem	nan	0.33	Grond- en oppervlaktewatervervuiling	topic 27: giflozing stomerij	2015
De gemeente Utrechtse Heuvelrug start met een maandelijks inloopspreekuur voor inwoners die vragen hebben of zich zorgen maken over de bodemvervuiling in Doorn. De enstig verontreinigde grond op de Acacialaan in Doorn werd vorig jaar in de lente ontdekt. Vervuiler is stomerij Van Boordt. Deze loosde in de jaren zeventig en tachtig van de vorige eeuw het schadelijke reinigingsmiddel PER. Deze week werd bekend dat de sanering van de vervuilde grond niet per april start maar is uitgesteld. Het saneringsplan werd niet goedgekeurd door de provincie Utrecht, omdat het plan door saneerder Bosatex niet voldoende was onderbouwd met onderzoeksgegevens. Het maandelijks inloopspreekuur start komende woensdag in het Cultuurhuis. Inwoners moeten zich van te voren aanmelden. Aanwezig zijn medewerkers van de gemeente, de GGD regio Utrecht, de Omgevingsdienst regio Utrecht, Regionale Uitvoeringsdienst Utrecht en Bosatex. 	nan	0.84	Grond- en oppervlaktewatervervuiling	topic 27: giflozing stomerij	2015
Tussen mijn e-mailtjes vond ik er deze week eentje van Helmonder Harry Kuypers. Het ging over 'rotzooi' en ander 'spul' dat in het kanaal drijft.   Oeioei. Als Harry schrijft gaan mijn zintuigen op scherp. Harry werpt zich regelmatig op als klokkenluider voor misstanden in natuur en milieu. Hij weet heel goed de weg bij waterschap Aa en Maas, waar hij tot september in het algemeen bestuur zat. En hij weet ook heel goed de weg naar onze krant, waar hij dan per e-mail alarm slaat over een of andere toestand die we samen niet moeten willen.  Zoals de bodemverontreiniging bij de Goorlopzone, waarmee hij vorige maand de krant haalde. Volgens Harry is die veroorzaakt door het storten van bedrijfs- en stedelijk afval in de jaren zestig en zeventig.   In het voorjaar constateerde Harry dat de populatie van kieviten in onze omgeving drastisch afneemt. Vorig jaar vroeg Harry zich publiekelijk af hoeveel schade wildcrossers veroorzaken in het beheersgebied van Waterschade Aa en Maas. Harry zette me ook al eens op het spoor voor een dagboekje over een appelboomgaard bij kasteel Croy.  En nu dit mailtje over 'rotzooi' en 'spul' in het kanaal. Harry komt nog even terug op de groene drab in het kanaal, waarover Trix Houthooft klaagde aan de vooravond van het H2O-festival. Harry zag de smurrie vorige week weer, toen hij ter hooge van Sluis 8 langs het kanaal fietste. Volgens hem gaat het om groot kroosvaren. Volgens Harry, die we toch vooral kennen als klokkenluider, hoeven we ons nu eens geen zorgen te maken. 'Geen paniek voor mevrouw Trix, het is een vrij dunne laag', laat hij me weten.   Matthijs  Matheas Christianus Franciscus van der Meulen werd op 8 februari 1888 in Helmond geboren en werd in 1910 als componist bekend onder zijn pseudoniem Matthijs Vermeulen. Er is in Helmond een straat naar hem genoemd. Wie zijn werk niet kent kan op zondag 16 november in de Rotterdamse Doelen gaan luisteren naar een concert dat is gewijd aan de Eerste Wereldoorlog. Daar worden Vermeulens werken La veille en de Eerste Cellosonate ten gehore gebracht, die hij componeerde in de Grote Oorlog. U moet in Rotterdam onder de paalwoningen trouwens niet op zoek gaan naar een borstbeeld van Vermeulen. Want dat beeld staat alleen maar onder de paalwoningen op het Speelhuisplein in Helmond.	nan	0.23	Bodem & Energie	topic 127: schaliegas-1	
"New York twijfelt over boren naar schaliegas. Gouverneur Andrew M. Cuomo weet nog niet of hij dat moet toestaan of niet. Om hem te helpen bij zijn beslissing, reisden bussen vol actievoerders af naar zijn kantoor in Albany.   ""Is er nog iemand die de boel een beetje kan opzwepen?"" Het is bijna twee uur geleden dat we in de stad White Plains, iets ten Noorden van New York City, in de touringcar stapten. Reisleidster Susan van Dolsen vindt het te rustig worden. Dan komt Jacqui, een vrouw met grijs haar en een No fracking way-T-shirt (een woordspeling het winnen van schaliegas, het zogeheten \'fracking\' en de ietwat grove tegenwerping: no fucking way) naar voren om een passend lied te zingen dat haar zus heeft geschreven. Hoeveel mensen worden ziek? Hoeveel gaan er sterven? Door de chemische stoffen, die ons drinkwater bederven? Geen druppel meer uit de kraan, ons water gaat eraan! Reisleidster Van Dolsen kijkt tevreden als Jacqui onder luid applaus terugloopt naar haar stoel.   Net als veel andere deelnemers aan de demonstratie in Albany is Susan lid van een klein clubje activisten, zo\'n vijf jaar geleden opgericht tijdens de eerste campagne van Barack Obama. Nu is ze teleurgesteld in de president. ""We hebben op 19 februari nog geprotesteerd bij het Witte Huis. Hij wist dat we zouden komen, want we hebben hem honderden, zo niet duizenden emails gestuurd. Later hoorden we dat hij ergens in het zuiden was. Golfen met vertegenwoordigers van de gasindustrie."" Maar zij en haar vriendinnen, nu ongeveer tachtig, hebben hun teleurstelling omgezet in daden. Ze gaan nog steeds de straat op. Niet meer voor Obama, maar om te helpen bij de voedselbanken in de stad, of om handtekeningen op te halen voor verbetering van het onderwijs. Vandaag staat schaliegas dus op de agenda: ""We kunnen hier in New York het verschil uitmaken. We kunnen het als eerste staat in de Verenigde Staten verbieden.""  Het is echter nog lang niet zo ver. In veel staten van het land wordt al volop geboord naar schaliegas, aardgas dat vastzit onder kilometersdiepe steenlagen (schalies) in de grond. Om het gas eruit te halen, pompen boortorens water en chemicaliën in die steenlagen (\'fracking\'). Zo breken ze die open en komt het gas eruit. Volgens critici levert dat bodem- en grondwatervervuiling op en kans op aardbevingen. Gouverneur Cuomo van New York zit ermee in zijn maag. De geruchten gaan al lang dat hij in 2016 een gooi wil doen naar het presidentschap. Hij wil zijn kiezers niet teleurstellen. Niet de noordelijke grondbezitters en conservatieven, die vóór boren naar schaliegas zijn, maar ook niet de milieubewuste stedelingen die nu voor zijn deur staan. ""Hij stelt zijn beslissing zo lang mogelijk uit"", zegt Van Dolsen. ""Om iedereen te vriend houden.""  Op het grote plein voor het kantoor van de gouverneur zijn de activisten in uitgelaten stemming. Twintiger en fulltime activist Roger Drew wijst naar de spandoeken en de schitterende kostuums om ons heen. ""Meer dan duizend deelnemers van alle leeftijden. En ze hebben zo hun best gedaan."" Dat klopt. Er lopen wasbakken, waterdruppels, bomen, soldaten en politieagenten. Zelfs het Vrijheidsbeeld maakt zijn opwachting. Ze luisteren allemaal naar de indrukwekkende speeches, zoals die van Arun Gandhi, de kleinzoon van de grote Mahatma.   Gouverneur Cuomo laat zich niet zien. Toch vindt Van Dolsen het een geslaagde dag. Zeker als ze hoort dat haar verhaal de Nederlandse kranten haalt. ""Als ze hier niet luisteren, misschien daar wel."	Matthijs Rotteveel	0.96	Bodem & Energie	topic 127: schaliegas-1	2013
Omwonenden van de Rekoplas bij Luttenberg zijn opgeschrikt door een plan om de waterplas te verondiepen. In 2006 speelde dit ook al. Toen was het tevens de bedoeling om woningen bij de plas te bouwen. De buren kregen onlangs te horen dat Reko, die eigenaar is van de waterplas, het verondiepingsplan weer uit de kast heeft gehaald. In het nieuwe inrichtingsplan dat Reko laat maken door de bureau's Daslook en Grondbereik uit Lochem, komen de woningen niet terug. Reko wil na de zomer de vergunningprocedure starten.   Gistermorgen is Daslook begonnen met een inventarisatie van de flora en fauna om de waterplas. Ook werden pogingen gedaan om de visstand in beeld te brengen.   Buurtbewoners, waarvan er vijf min of meer direct aan het water wonen, zijn bang dat het Raalter bedrijf Reko vervuilde grond in de plas stort. Met mogelijk een vervuiling van het grondwater tot gevolg. ,,Ze kunnen wel zeggen dat het gaat om licht-vervuilde grond dat binnen de normen valt, maar wie garandeert ons dat er niet zo nu en dan een vrachtauto doorheen glipt met veel meer vervuiling,'' vertolkt Anita te Riet de gevoelens van de buurt. Omwonenden zijn ook bang dat er na de verondieping woningen verrijzen rond de plas. Zoals dat in 2006 ook het plan was. ,,Dat staat nu nog niet in de plannen, maar dat zou zo maar de volgende fase kunnen zijn. Die woningen willen we hier niet.''  De omwonenden willen dat de diepe plas, die overbleef na de zandwinning in de jaren zeventig en tachtig blijft zoals ie is. Het vergroten van de natuurwaarde door de plas te verondiepen, de bouw van uitkijktorens en toeloop van recreanten, het hoeft voor hen allemaal niet. ,,Dat moet verdoezelen waar het Reko echt om gaat, de miljoenen die te verdienen zijn met het storten van vervuilde grond.'' De bewoners weten dat Reko eigenaar is van de plas en zij er niets over te zeggen hebben. Ook hebben ze een steiger aan het water en mogen ze gebruik maken van de plas die niet particulier toegankelijk is. ,,Reko gaat er over, dat klopt. Maar Reko heeft destijds afspraken gemaakt met de mensen die hun grond verkochten zodat Reko zand kon winnen en daar jaren overlast van hebben gehad. Als de zandwinning voorbij is mogen er geen gekke dingen gebeuren met de plas. Daar moet Reko zich aan houden.	Gerard Potijk	0.84	Afgravingen en Verontdieping: Stort vervuilde grond	topic 82: afgravingen	2012
"Directeur Paul Booijink van Booijink Veevoeders houdt vol niet te weten waarom zijn chauffeurs als niet-bestemmingsverkeer de bulkwagen over de Heesweg dirigeren. ,,Ik wist niet dat het niet mag."" Booijink belooft bij zijn chauffeurs na te gaan of ze inderdaad de Heesweg volgen. ,,Als ze dat doen, en ze hoeven daar niet bij een bedrijf te zijn, moeten ze daar zo snel mogelijk mee stoppen."" Volgens aanwonenden van de Heesweg rijden ook vrachtwagens van Reko Raalte en Jumbo - geen bestemmingsverkeer - over deze weg. De supermarktketen laat weten \'zich aan de geldende wet- en regelgeving te houden\'. ,,We zullen uw melding dan ook onderzoeken."" Directeur Vincent Reinders van Reko Raalte, onder meer een grondverzet- en wegenbouwbedrijf, kon niet reageren."	nan	0.32	Afgravingen en Verontdieping: Stort vervuilde grond	topic 82: afgravingen	2018
